0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0.738837,1.0,-0.5622773,0.89625615,-18.9058,0.7047211,-47.522846,-6.2236843,-0.5529213,0.5089903,-2.5581174,0.9162845,0.65768814,0.5358406,0.75179344,1.0,0.9290303,0.7270737,1.0,0.6282457,0.8361623,1.0,0.9626299,0.9999881
0.73921216,1.0,-0.54588497,0.8964426,-18.82232,0.7091178,-47.374313,-6.188815,-0.561067,0.51066804,-2.5348942,0.91655886,0.65888894,0.53546965,0.7519406,1.0,0.9298337,0.72651184,1.0,0.6271845,0.84046715,1.0,0.96320236,0.99999106
0.7381265,1.0,-0.5498636,0.8954822,-18.807478,0.70925057,-47.526134,-6.1995425,-0.5591996,0.51156807,-2.5265326,0.91606396,0.6586119,0.5359211,0.75058603,1.0,0.9300051,0.7261867,1.0,0.62930024,0.84188586,1.0,0.9640119,0.999992
0.7375521,1.0,-0.57286906,0.89109623,-18.521465,0.7055743,-47.67524,-6.167461,-0.5685625,0.51449317,-2.520394,0.9157728,0.65414345,0.5353496,0.7523626,1.0,0.9325404,0.7249333,1.0,0.6302247,0.8470199,1.0,0.96542096,0.99999416
0.738088,1.0,-0.5897256,0.8906788,-18.59059,0.7035432,-47.576077,-6.1477814,-0.59456325,0.5159112,-2.5288658,0.915045,0.65265584,0.5346132,0.75162643,1.0,0.93315995,0.72499704,1.0,0.6269636,0.84825766,1.0,0.96555656,0.9999937
0.73825157,1.0,-0.58964837,0.89088094,-18.63074,0.70154,-47.625526,-6.1383185,-0.60751855,0.5166375,-2.5384216,0.9140153,0.65185654,0.5338667,0.75229055,1.0,0.93396926,0.7246884,1.0,0.62430745,0.84891343,1.0,0.96571785,0.9999946
0.73841953,1.0,-0.60722876,0.8910343,-18.615433,0.7033942,-47.527992,-6.1535106,-0.6151422,0.5164882,-2.547319,0.91378754,0.6526084,0.53324556,0.75580597,1.0,0.93457407,0.7245714,1.0,0.6246371,0.8490248,1.0,0.9656442,0.999995
0.7386569,1.0,-0.6217891,0.8914072,-18.580906,0.7070421,-47.6047,-6.1809,-0.6149292,0.5167479,-2.5649128,0.91333514,0.6530446,0.5323334,0.7613863,1.0,0.9354516,0.72436893,1.0,0.6232673,0.84925306,1.0,0.96571666,0.9999955
0.73881936,1.0,-0.62537634,0.891701,-18.573175,0.7080752,-47.56458,-6.169447,-0.6170683,0.5168942,-2.5637898,0.91327083,0.6532019,0.53189945,0.7632975,1.0,0.93575877,0.7240875,1.0,0.6228819,0.8495711,1.0,0.9656145,0.99999666
0.73950535,1.0,-0.6252439,0.8922316,-18.550318,0.71064746,-47.546005,-6.1469965,-0.6212659,0.5173309,-2.5566614,0.9128062,0.65299124,0.5313759,0.7649501,1.0,0.9361479,0.72383285,1.0,0.6220881,0.8508294,1.0,0.9656545,0.999997
0.73977184,1.0,-0.64277935,0.89148813,-18.532675,0.7096962,-47.526695,-6.13975,-0.6321646,0.5184256,-2.5627565,0.9122338,0.6536567,0.5309526,0.76538223,1.0,0.93666154,0.7235645,1.0,0.6216307,0.85117966,1.0,0.9657437,0.9999969
0.73944575,1.0,-0.649089,0.8917053,-18.642761,0.7088592,-47.5772,-6.1497197,-0.6313664,0.5193433,-2.5688694,0.9119369,0.6544713,0.5309177,0.76600593,1.0,0.93683726,0.7236136,1.0,0.6208991,0.85106456,1.0,0.9657021,0.99999666
0.7388623,1.0,-0.64748895,0.8915582,-18.763742,0.70626163,-47.43447,-6.1359186,-0.6331693,0.52004373,-2.5678594,0.9118178,0.6547745,0.5310857,0.7637917,1.0,0.93709326,0.72352433,1.0,0.6203612,0.8510462,1.0,0.9658501,0.9999967
0.7387145,1.0,-0.6368991,0.8920813,-18.856459,0.7060077,-47.456398,-6.1174073,-0.6289829,0.5200773,-2.562026,0.91157806,0.6542094,0.5314541,0.7631321,1.0,0.9365549,0.7236025,1.0,0.61976147,0.85051906,1.0,0.96559423,0.99999744
0.73850155,1.0,-0.6304549,0.89239275,-18.9581,0.70625746,-47.33775,-6.1179905,-0.6257777,0.52003086,-2.5616746,0.91125876,0.65439117,0.5316191,0.76365066,1.0,0.9367414,0.7237122,1.0,0.61987936,0.85037833,1.0,0.965696,0.99999774
0.73871315,1.0,-0.6477475,0.89232713,-18.974297,0.70613647,-47.46996,-6.1278887,-0.62796676,0.5203453,-2.5682855,0.9107264,0.6547853,0.5312747,0.76466036,1.0,0.9368985,0.72353053,1.0,0.6196755,0.8499867,1.0,0.96551317,0.9999972
0.7383049,1.0,-0.64596343,0.89249444,-19.011003,0.70600617,-47.264866,-6.1061893,-0.63034594,0.52051926,-2.5636637,0.9107152,0.65442234,0.5313722,0.7651596,1.0,0.93705606,0.7234338,1.0,0.6194385,0.84975976,1.0,0.96549,0.99999785
0.7388305,1.0,-0.656124,0.89246345,-18.978094,0.7070686,-47.369286,-6.105773,-0.6324794,0.5209171,-2.566069,0.9104206,0.6543734,0.5310066,0.7667278,1.0,0.93736947,0.72321296,1.0,0.61866987,0.85029805,1.0,0.9654298,0.99999756
0.7385311,1.0,-0.6505395,0.8930716,-19.066618,0.70688367,-47.401726,-6.09483,-0.62760675,0.52062345,-2.5614302,0.9103249,0.6531415,0.53121644,0.76661885,1.0,0.9370858,0.7232708,1.0,0.61838317,0.84952533,1.0,0.9652636,0.99999774
