0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0.99997306,0.9960319,0.96171165,1.0,0.9939116,0.99383307,0.9836563,0.99216425,0.9753488,0.99863,0.9847379,0.9991143,1.0,1.0,0.9987236,0.99811673,0.9981543,0.99984485,0.99986947,0.9963807,0.99896073,0.9969736,1.0,1.0
0.9999734,0.99604374,0.96169484,1.0,0.99394304,0.993792,0.98360705,0.9921674,0.97533333,0.99865323,0.9847331,0.9991312,1.0,1.0,0.9987485,0.99814844,0.9981872,0.999866,0.99990034,0.9963694,0.99897844,0.9969641,1.0,1.0
0.99997395,0.99609905,0.96125567,1.0,0.99391544,0.993671,0.98333925,0.9920473,0.97512645,0.9986732,0.98463565,0.99915534,1.0,1.0,0.9987433,0.9981348,0.99816436,0.99987894,0.99991363,0.9963271,0.9989702,0.9969361,1.0,1.0
0.9999693,0.9960027,0.9607647,1.0,0.9937301,0.9933479,0.98293567,0.9918213,0.9748137,0.9986622,0.98442,0.99914527,1.0,1.0,0.9987416,0.99811465,0.9981471,0.99987996,0.9999233,0.99633956,0.99897766,0.99678636,1.0,1.0
0.99996805,0.9960127,0.9615419,1.0,0.99375314,0.9935196,0.98335177,0.992029,0.9752691,0.99869126,0.9847033,0.9991696,1.0,1.0,0.9987802,0.99816954,0.9981895,0.99988264,0.99992454,0.9964166,0.9989967,0.9968624,1.0,1.0
0.9999676,0.9959914,0.96152866,1.0,0.993759,0.9935374,0.9834203,0.99205536,0.9752471,0.9986948,0.984679,0.99916726,1.0,1.0,0.99879694,0.99819505,0.99821156,0.9998848,0.9999291,0.99643457,0.99900496,0.99684596,1.0,1.0
0.99996674,0.99599385,0.96169025,1.0,0.9937727,0.99357057,0.9834943,0.9920948,0.97537494,0.99872845,0.9847929,0.9991948,1.0,1.0,0.99881905,0.9982243,0.9982382,0.99988675,0.9999305,0.9964214,0.9990094,0.9968668,1.0,1.0
0.9999666,0.9959909,0.9614595,1.0,0.9937502,0.99351656,0.98340505,0.9920427,0.97523963,0.9987159,0.98469704,0.9991848,1.0,1.0,0.9988128,0.9982154,0.99822336,0.9998864,0.99993324,0.9964261,0.99901223,0.99683535,1.0,1.0
0.9999663,0.99597496,0.9614341,1.0,0.9937675,0.993519,0.9834068,0.99205166,0.9752388,0.9987299,0.98471695,0.99920005,1.0,1.0,0.99882996,0.9982379,0.9982429,0.9998881,0.99993783,0.996414,0.99901515,0.996835,1.0,1.0
0.99996614,0.9959816,0.96144265,1.0,0.99376386,0.9935226,0.9834385,0.99206465,0.9752372,0.99872684,0.98471093,0.9991991,1.0,1.0,0.99883175,0.9982435,0.9982471,0.9998901,0.9999411,0.99642724,0.99901515,0.9968273,1.0,1.0
0.99996513,0.9959738,0.96198267,1.0,0.99376667,0.9936084,0.983663,0.99217147,0.97554904,0.99875003,0.984905,0.9992145,1.0,1.0,0.99885845,0.99828535,0.99828047,0.99989027,0.9999407,0.9964644,0.99902207,0.9968743,1.0,1.0
0.9999653,0.99599224,0.96187097,1.0,0.99376017,0.99359727,0.98363805,0.9921582,0.9754767,0.9987379,0.98484737,0.999202,1.0,1.0,0.9988618,0.99828935,0.9982846,0.99989146,0.99993896,0.99646044,0.99902475,0.9968628,1.0,1.0
0.99996513,0.99600595,0.9619377,1.0,0.99375534,0.99359596,0.9836603,0.9921708,0.97552663,0.9987435,0.984884,0.9992096,1.0,1.0,0.9988664,0.9982974,0.9982939,0.9998887,0.99993765,0.99647176,0.999028,0.99686164,1.0,1.0
0.99996495,0.9959677,0.96162945,1.0,0.99371904,0.9934984,0.9834655,0.99206793,0.97535986,0.9987361,0.98479646,0.9992101,1.0,1.0,0.99885076,0.99827343,0.9982654,0.99989104,0.9999433,0.9964292,0.9990236,0.99682105,1.0,1.0
0.99996483,0.9959872,0.9615753,1.0,0.9937096,0.9934657,0.98337996,0.9920331,0.9753723,0.9987591,0.98483926,0.99923205,1.0,1.0,0.9988463,0.99826837,0.9982567,0.9998905,0.99994445,0.99640024,0.9990076,0.99682504,1.0,1.0
0.9999651,0.9960043,0.96150786,1.0,0.99370426,0.9934785,0.9834325,0.9920551,0.9753012,0.9987398,0.9847738,0.99921125,1.0,1.0,0.99885195,0.99827564,0.99826396,0.99988925,0.9999411,0.9964203,0.9990215,0.99681336,1.0,1.0
0.9999644,0.99598056,0.96164066,1.0,0.9937078,0.9934713,0.98342144,0.99204975,0.97540766,0.99876446,0.9848678,0.9992356,1.0,1.0,0.99886185,0.9982897,0.9982762,0.99988955,0.9999447,0.9964024,0.9990122,0.99681956,1.0,1.0
0.99996483,0.99600464,0.9616797,1.0,0.99371296,0.99350375,0.98350513,0.99209094,0.9754056,0.99875915,0.98485655,0.99922764,1.0,1.0,0.9988725,0.9983049,0.9982942,0.9998939,0.9999439,0.996416,0.9990252,0.9968171,1.0,1.0
0.9999648,0.99599737,0.9614097,1.0,0.9936984,0.993444,0.98336756,0.9920234,0.9752728,0.9987486,0.98478436,0.9992285,1.0,1.0,0.998867,0.99829525,0.9982788,0.99989235,0.99994373,0.99639994,0.99901235,0.9967942,1.0,1.0
0.99996537,0.9960074,0.9613518,1.0,0.993701,0.993448,0.98338836,0.9920337,0.9752209,0.99873275,0.984738,0.9992169,1.0,1.0,0.9988645,0.99829584,0.9982787,0.99989206,0.99994576,0.99642354,0.9990205,0.99679303,1.0,1.0
0.99996465,0.99598926,0.9613888,1.0,0.9937041,0.9934448,0.98339725,0.9920407,0.9752476,0.99873734,0.9847631,0.9992253,1.0,1.0,0.9988798,0.9983101,0.9982924,0.99988836,0.99994546,0.99643016,0.9990199,0.9967762,1.0,1.0
0.99996465,0.99600434,0.9616445,1.0,0.9937038,0.99348015,0.9834843,0.99208057,0.9754052,0.9987558,0.9848695,0.99923795,1.0,1.0,0.9988807,0.9983169,0.9982967,0.99988985,0.999947,0.9964334,0.99902403,0.99680483,1.0,1.0
0.9999646,0.9959766,0.9615747,1.0,0.9937023,0.99346894,0.98345894,0.992063,0.97535485,0.99875784,0.98484886,0.99923766,1.0,1.0,0.9988856,0.9983239,0.9983064,0.9998935,0.9999489,0.9964132,0.99902946,0.9967878,1.0,1.0
0.99996513,0.9960398,0.96156716,1.0,0.9936954,0.9934693,0.98346144,0.9920726,0.97536874,0.9987606,0.984864,0.9992439,1.0,1.0,0.9988848,0.99832404,0.99830395,0.99989223,0.9999466,0.9964074,0.99902976,0.99679995,1.0,1.0
