0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0.997616,0.9856056,0.99962205,1.0,0.99768317,0.98952216,1.0,0.917302,0.97847486,0.49020565,0.9771071,0.8961692,0.8485099,0.98878133,0.9752111,0.81583834,0.91611826,0.9993728,0.9324226,0.9977211,0.96667176,0.24750632,0.9438225,0.9973276,1.0,0.9945518,0.9779969,1.0,0.9899466,0.9475945,0.6914656,0.9878638,0.9988008,1.0
0.9976269,0.9852051,0.99963963,1.0,0.99756974,0.9895104,1.0,0.9172199,0.97859544,0.4901712,0.9774197,0.8964171,0.8483512,0.9890479,0.9752875,0.81467354,0.91543627,0.9993904,0.93272156,0.99774456,0.96665204,0.25669885,0.94330984,0.99729514,1.0,0.9945301,0.97822285,1.0,0.98969465,0.9480755,0.6953263,0.9878323,0.9988064,1.0
0.9975014,0.98540395,0.9996286,1.0,0.99763435,0.98959047,1.0,0.91666925,0.9787919,0.49567872,0.97752005,0.8974505,0.84985995,0.98921496,0.9757114,0.81256175,0.91452116,0.999305,0.9310296,0.99773884,0.9667784,0.25289726,0.94377047,0.9974009,1.0,0.994426,0.97857624,1.0,0.9898384,0.94864136,0.6925828,0.9880199,0.9988397,1.0
0.9975483,0.98544556,0.9996552,1.0,0.9976917,0.98960257,1.0,0.91454947,0.9787739,0.4909588,0.9774018,0.897835,0.8490003,0.98907083,0.97379094,0.81043637,0.9147203,0.999349,0.93060863,0.99772257,0.9668834,0.25635487,0.9430138,0.997366,1.0,0.99421984,0.97931653,1.0,0.9898868,0.9489307,0.69572353,0.9878994,0.99886894,1.0
0.9974497,0.9853778,0.99964166,1.0,0.9976858,0.9895485,1.0,0.913483,0.97868556,0.48767626,0.977083,0.89648956,0.8467016,0.9890278,0.97324437,0.8155371,0.9135512,0.9991586,0.9334659,0.99777555,0.9668204,0.27437413,0.9429109,0.9973751,1.0,0.99424475,0.9789111,1.0,0.98997176,0.94825906,0.70228696,0.98772806,0.9989092,1.0
0.9975432,0.9857355,0.9996582,1.0,0.99777997,0.9895635,1.0,0.9148532,0.97834,0.48261833,0.9768285,0.8956467,0.84581494,0.9888972,0.9743402,0.81418824,0.91451675,0.99943835,0.9338183,0.9977644,0.9668309,0.2756691,0.94268656,0.99727565,1.0,0.9945336,0.9787984,1.0,0.99001807,0.9477568,0.703686,0.98758644,0.9989116,1.0
0.9973916,0.9855979,0.99965066,1.0,0.99761885,0.98973054,1.0,0.91450876,0.97832936,0.48314577,0.977267,0.896314,0.84510803,0.9887365,0.9737025,0.8146769,0.91453844,0.9993311,0.9337443,0.9977608,0.96654946,0.2790959,0.943552,0.9973088,1.0,0.99461156,0.97931755,1.0,0.9899397,0.9481502,0.70149887,0.9875835,0.9987937,1.0
0.99760896,0.985626,0.99965453,1.0,0.9974912,0.9897989,1.0,0.9153711,0.9783856,0.48004675,0.9770862,0.8956417,0.84513146,0.98921484,0.9740095,0.81186897,0.915007,0.9992853,0.93461764,0.99773544,0.96682507,0.28459412,0.94453233,0.997319,1.0,0.9946955,0.97990483,1.0,0.98983306,0.94781345,0.6989782,0.98778725,0.9988229,1.0
0.99744684,0.9855873,0.99965996,1.0,0.9976481,0.98985845,1.0,0.9155057,0.9782212,0.47749984,0.97703815,0.89600676,0.8452823,0.9892401,0.97445154,0.8126343,0.91500956,0.9992946,0.93347853,0.9977132,0.96651685,0.28720176,0.94482833,0.9973156,1.0,0.9945766,0.9802219,1.0,0.98989934,0.9479394,0.6937668,0.98755234,0.99892426,1.0
0.9975701,0.9857435,0.99967265,1.0,0.99771214,0.9898667,1.0,0.9158401,0.9782684,0.47604007,0.9769222,0.8956088,0.8454602,0.9897576,0.9748281,0.81229246,0.91466564,0.9994465,0.93521374,0.99774176,0.96697855,0.30013442,0.94510496,0.9972768,1.0,0.99461675,0.97984743,1.0,0.98989266,0.9476467,0.6956612,0.9876615,0.99890894,1.0
