0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0.07553093,0.22712636,0.67717135,0.0,0.40312582,0.41948232,0.78485084,0.60949594,0.67508215,0.3374773,0.64954007,0.41271305,0.0,0.0,0.52108794,0.5016765,0.5169062,0.11274171,0.067474924,0.2764532,0.27007186,0.45524734,0.0,0.0
0.07353461,0.2301993,0.6748843,0.0,0.41069886,0.4272955,0.78862596,0.607458,0.6669239,0.33014625,0.64506173,0.4096617,0.0,0.0,0.5185765,0.5049736,0.5177536,0.103436135,0.06279024,0.2838729,0.25351807,0.46156526,0.0,0.0
0.07312461,0.23457596,0.68883795,0.0,0.42122078,0.44106865,0.8051181,0.62100625,0.686355,0.3440666,0.6648318,0.42931268,0.0,0.0,0.5332352,0.5184008,0.53320116,0.11167604,0.07142218,0.29078144,0.25991768,0.47815466,0.0,0.0
0.07130778,0.23972444,0.68522894,0.0,0.428259,0.45496225,0.8193745,0.6329608,0.68018836,0.33422244,0.6659225,0.4276619,0.0,0.0,0.5448227,0.53194976,0.5412538,0.11328634,0.07018398,0.28687835,0.2698782,0.49229622,0.0,0.0
0.06980519,0.23312962,0.6786191,0.0,0.42047465,0.43956423,0.80044144,0.61021924,0.67179084,0.32703096,0.6507537,0.40933698,0.0,0.0,0.5244737,0.51287746,0.5228025,0.10682522,0.06573355,0.28169462,0.24878392,0.47242066,0.0,0.0
0.07211554,0.23204915,0.67044544,0.0,0.4111782,0.42811784,0.7899608,0.60048574,0.6663019,0.32335144,0.6453624,0.4086147,0.0,0.0,0.5110127,0.49712425,0.5041751,0.09852283,0.05617275,0.27921662,0.23626816,0.4641084,0.0,0.0
0.07129979,0.23454468,0.66833496,0.0,0.4057238,0.4235208,0.78227544,0.59321177,0.6636637,0.32373393,0.64664865,0.40736085,0.0,0.0,0.5033436,0.49021873,0.4990794,0.09801267,0.05672445,0.2711745,0.23583215,0.45941997,0.0,0.0
0.07188054,0.23365717,0.6642103,0.0,0.415336,0.43167084,0.79151773,0.6001805,0.65462506,0.3148957,0.63781697,0.39930457,0.0,0.0,0.5127114,0.49928164,0.50913215,0.102962635,0.060818158,0.277814,0.24220487,0.45905364,0.0,0.0
0.06906156,0.23201482,0.6705925,0.0,0.41312897,0.42970294,0.79103345,0.59991276,0.66146433,0.31851807,0.6437666,0.39938372,0.0,0.0,0.5107154,0.4968118,0.5064551,0.100930855,0.05620452,0.27600986,0.24195091,0.45477876,0.0,0.0
0.06972985,0.23222291,0.6697998,0.0,0.40912455,0.42722782,0.7860691,0.5947697,0.66189355,0.32110834,0.6445827,0.40337503,0.0,0.0,0.5010249,0.48773023,0.49538928,0.09823352,0.058724783,0.27349347,0.23327683,0.45711517,0.0,0.0
0.07182821,0.23057425,0.6595793,0.0,0.40351912,0.42115295,0.77817774,0.58539295,0.6491487,0.31542283,0.62929934,0.39502048,0.0,0.0,0.49336553,0.4799164,0.4880864,0.09271517,0.050899982,0.27245882,0.22742401,0.44552588,0.0,0.0
0.06910491,0.23149602,0.671653,0.0,0.40368629,0.42049694,0.77962637,0.5895323,0.6624829,0.32010671,0.6417756,0.40335935,0.0,0.0,0.49406514,0.47949633,0.48404583,0.094578646,0.05509643,0.27533716,0.22667907,0.44921422,0.0,0.0
0.067964755,0.23368613,0.66873276,0.0,0.4072729,0.42632705,0.78312653,0.59060186,0.66014594,0.3170185,0.6443324,0.40789187,0.0,0.0,0.49617404,0.48191708,0.48624176,0.094295286,0.053352974,0.27280134,0.22771655,0.45060906,0.0,0.0
0.068703696,0.23373386,0.67428017,0.0,0.4100419,0.42852435,0.78854465,0.5967313,0.66275203,0.32355145,0.64423466,0.40480837,0.0,0.0,0.5033002,0.48871344,0.4934728,0.09529291,0.05611084,0.273241,0.23336458,0.4507912,0.0,0.0
0.06829135,0.2364438,0.68143845,0.0,0.41538978,0.4325796,0.79464686,0.5990286,0.6739278,0.32992107,0.6572014,0.41755223,0.0,0.0,0.50753725,0.4925745,0.49906117,0.09919566,0.055909913,0.27176532,0.23452048,0.46211824,0.0,0.0
0.068424225,0.23299198,0.6749605,0.0,0.41258866,0.430403,0.7913653,0.60067505,0.66187185,0.3180378,0.64312375,0.40413103,0.0,0.0,0.50520873,0.48903677,0.49275967,0.09423479,0.05525909,0.27367425,0.23269263,0.45366335,0.0,0.0
0.06814544,0.23358755,0.67405915,0.0,0.41071963,0.42799395,0.789642,0.5981464,0.6623411,0.32024947,0.6426323,0.40366447,0.0,0.0,0.50181305,0.4855772,0.48944348,0.09519037,0.05290266,0.26805216,0.23170017,0.4530793,0.0,0.0
0.06798613,0.23377912,0.67306757,0.0,0.41341028,0.43159208,0.7890376,0.59479684,0.6584394,0.31541437,0.63911027,0.40138352,0.0,0.0,0.500909,0.487518,0.4915144,0.09163632,0.05268147,0.26960707,0.22777544,0.45122692,0.0,0.0
0.06885346,0.23398626,0.68016875,0.0,0.41376382,0.43444094,0.79227805,0.5980622,0.66915387,0.3251369,0.64938605,0.4094963,0.0,0.0,0.50334615,0.48828897,0.4951064,0.09529843,0.055015665,0.26965055,0.228931,0.45426607,0.0,0.0
0.06743193,0.23302945,0.67564046,0.0,0.413511,0.43273172,0.79138875,0.598924,0.65989536,0.31593415,0.638157,0.395141,0.0,0.0,0.5024345,0.48898262,0.49242985,0.09524655,0.052893303,0.2680113,0.22960477,0.45051378,0.0,0.0
0.06730076,0.23158738,0.67387724,0.0,0.41486204,0.43292746,0.7910094,0.5956494,0.65931386,0.31580704,0.64093614,0.39592323,0.0,0.0,0.50217795,0.4885649,0.494713,0.09557377,0.05432397,0.26801392,0.2278713,0.44822282,0.0,0.0
0.06843178,0.23238441,0.6642573,0.0,0.41033083,0.4288783,0.7866415,0.59217805,0.6491076,0.30700263,0.6281157,0.3885896,0.0,0.0,0.4964534,0.48324713,0.4881338,0.093373835,0.052038193,0.26887697,0.22576295,0.4463889,0.0,0.0
0.068851195,0.22948095,0.66554797,0.0,0.410552,0.42704672,0.7849814,0.59019876,0.65237236,0.3128166,0.6340843,0.39840692,0.0,0.0,0.49526775,0.482478,0.48939118,0.094663784,0.053139012,0.27382958,0.22803208,0.44277844,0.0,0.0
0.06620073,0.23112623,0.6694843,0.0,0.40804303,0.43016785,0.7850563,0.59052193,0.65507454,0.30612713,0.63530266,0.39537656,0.0,0.0,0.49402875,0.4805628,0.48590636,0.09640998,0.055687986,0.2667585,0.22561821,0.44788632,0.0,0.0
0.06840023,0.23513488,0.67044103,0.0,0.4124692,0.4297534,0.7879528,0.5943908,0.6538998,0.30983305,0.6374172,0.40036434,0.0,0.0,0.49390492,0.47944474,0.48205686,0.08984232,0.0540636,0.27057043,0.22270468,0.44468412,0.0,0.0
0.06911008,0.23195681,0.66236895,0.0,0.40732175,0.4221091,0.77754253,0.5807798,0.6487441,0.30645302,0.6285815,0.39223343,0.0,0.0,0.48297495,0.4706615,0.47164106,0.08891249,0.051579338,0.2696937,0.21273804,0.43998754,0.0,0.0
0.06813431,0.23435295,0.66674566,0.0,0.4056011,0.41924334,0.77458537,0.57886505,0.65070343,0.30459556,0.6288427,0.38517737,0.0,0.0,0.48436254,0.47100544,0.47473058,0.09087914,0.050364338,0.27143747,0.2122945,0.43070766,0.0,0.0
0.06742346,0.23089847,0.6672803,0.0,0.4077117,0.42286882,0.7782594,0.579911,0.6531186,0.3067446,0.6299772,0.3867979,0.0,0.0,0.48710606,0.47466475,0.47974786,0.092848405,0.0523329,0.27060735,0.21843761,0.43648657,0.0,0.0
