0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0.69970953,1.0,0.3594874,0.8691187,-44099.902,0.7144328,-229.58313,-35.082203,0.8565401,0.83497894,-2.0070179,-1917.9337,0.63770986,0.43823373,-2.3195887,1.0,0.7414378,0.613269,1.0,0.7456022,0.8785114,1.0,0.9504456,0.99994296
0.70045495,1.0,0.36222726,0.86993843,-44153.703,0.7178775,-231.81883,-35.040188,0.8595261,0.8362142,-1.9842713,-1925.9016,0.6387454,0.4376464,-2.2926736,1.0,0.7470979,0.61269975,1.0,0.7430084,0.88066006,1.0,0.9509572,0.99994695
0.7001043,1.0,0.3728168,0.8689251,-44860.082,0.7207465,-234.64354,-35.489323,0.8609168,0.83650887,-1.9762723,-1924.3259,0.63888,0.43851733,-2.3317144,1.0,0.7422129,0.6134424,1.0,0.74509215,0.8815097,1.0,0.9508218,0.9999427
0.70005965,1.0,0.37657034,0.8609069,-44801.69,0.72002786,-235.40817,-35.39783,0.86374414,0.8393646,-1.9710314,-1935.7869,0.63469064,0.43965816,-2.3617039,1.0,0.749056,0.6138606,1.0,0.7461033,0.88392687,1.0,0.9519764,0.99994373
0.7014875,1.0,0.3748783,0.8595484,-44125.215,0.71939707,-234.75255,-35.02529,0.86427385,0.84101707,-1.973352,-1942.8744,0.63287246,0.43888158,-2.3500988,1.0,0.75014544,0.6126721,1.0,0.74458724,0.88400364,1.0,0.9511718,0.99994856
0.7014282,1.0,0.37707502,0.8583351,-43975.367,0.7180759,-235.61017,-35.025234,0.8641398,0.8416994,-1.977731,-1934.9373,0.6326158,0.4381553,-2.3351882,1.0,0.7546397,0.6117085,1.0,0.74290645,0.8836905,1.0,0.95098186,0.9999479
0.70191866,1.0,0.38127857,0.85811466,-42003.168,0.720585,-234.34921,-34.87361,0.8644289,0.8417273,-1.9819651,-1935.9967,0.63364685,0.43765903,-2.3192666,1.0,0.7541559,0.61097884,1.0,0.74445903,0.8836941,1.0,0.95086175,0.9999503
0.7029364,1.0,0.3728404,0.86002994,-43199.965,0.7235428,-231.74197,-34.541508,0.86429983,0.8420259,-1.9885266,-1942.5536,0.631964,0.4374057,-2.2850347,1.0,0.7466763,0.6115694,1.0,0.74409986,0.883617,1.0,0.9513733,0.9999386
0.7038313,1.0,0.37968332,0.85865474,-42673.74,0.72415185,-235.17328,-35.27088,0.86467314,0.8417522,-1.9929647,-1940.2405,0.6339743,0.43752265,-2.278544,1.0,0.749687,0.61087435,1.0,0.743714,0.8837195,1.0,0.951442,0.9999464
0.7043666,1.0,0.3810222,0.86012375,-42315.58,0.72543865,-235.36487,-35.148354,0.8652675,0.8427247,-1.9913781,-1948.9364,0.6341539,0.43645418,-2.2608411,1.0,0.75426114,0.6095885,1.0,0.74424565,0.88409746,1.0,0.9509976,0.99995285
