0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,
0.0204678,0.24133722,0.96043646,0,0.35904354,0.3670834,0.6710434,0.456182,0.96098614,0.17803113,0.8474428,0.3716421,0,0,0.38349456,0.38366923,0.38510963,0.040847838,0.030662894,0.2521252,0.31168726,0.3321802,0,0,
0.019989133,0.24184339,0.9598156,0,0.3608964,0.37041292,0.6758746,0.45937747,0.960521,0.18185502,0.8486287,0.37607634,0,0,0.38488114,0.38482878,0.38516268,0.0410497,0.031000098,0.25393125,0.3120361,0.33558863,0,0,
0.01992337,0.24398422,0.96551454,0,0.3644701,0.37355313,0.68123436,0.4630406,0.9662752,0.18247393,0.8549627,0.37968612,0,0,0.38752818,0.38678592,0.38693795,0.039485972,0.029470306,0.25372618,0.3120163,0.3369436,0,0,
0.020786047,0.24496031,0.9712901,0,0.36999902,0.38053998,0.6895627,0.4685964,0.9707672,0.17801456,0.8596188,0.38059896,0,0,0.38994655,0.3908062,0.39170143,0.038591646,0.028419297,0.2538163,0.31330377,0.34295344,0,0,
0.020474752,0.24647605,0.974338,0,0.3658366,0.3771226,0.68507206,0.46554637,0.97468656,0.17868993,0.8627219,0.3838129,0,0,0.38609242,0.38646668,0.38580626,0.038687848,0.029071053,0.25330672,0.31034797,0.34239587,0,0,
0.020545086,0.24593458,0.9713478,0,0.36431193,0.37418067,0.6821694,0.46253204,0.9707192,0.175277,0.8590616,0.37977117,0,0,0.38416952,0.38433856,0.385272,0.036414903,0.02769667,0.2534512,0.31252095,0.33770996,0,0,
0.02016465,0.2471333,0.9714689,0,0.36246976,0.3732559,0.68132514,0.4624071,0.97160184,0.17604338,0.860142,0.3835681,0,0,0.382274,0.38200256,0.3810361,0.036738794,0.028444132,0.25364077,0.3092669,0.3406602,0,0,
0.020472448,0.2450835,0.96644294,0,0.36236423,0.37248772,0.6807984,0.46148786,0.96570057,0.17205875,0.8548044,0.37709484,0,0,0.38134784,0.38134345,0.38208002,0.0357787,0.026698988,0.2534649,0.31107825,0.33681256,0,0,
0.020337781,0.24549453,0.9673731,0,0.36137253,0.37184316,0.6802716,0.46110958,0.9673514,0.17225981,0.85645247,0.38087004,0,0,0.3800308,0.3797683,0.37927324,0.03487712,0.026851794,0.2527589,0.30890778,0.33852452,0,0,
0.02011764,0.24440369,0.9650165,0,0.36111557,0.371106,0.68016833,0.46094275,0.96446514,0.17130093,0.85447717,0.37796414,0,0,0.37968576,0.3790772,0.3794964,0.03468901,0.025942465,0.25420585,0.3116415,0.33630738,0,0,
0.020117959,0.24527538,0.96453065,0,0.35894072,0.3696625,0.6781148,0.45963883,0.9645611,0.16970424,0.8548436,0.38102752,0,0,0.37667102,0.37604818,0.37549746,0.034400325,0.026088815,0.25305855,0.3078893,0.3374157,0,0,
0.01989778,0.24569795,0.96402997,0,0.35887668,0.36925024,0.6782302,0.46005845,0.96360505,0.17128018,0.8541479,0.380517,0,0,0.37760425,0.37611008,0.37499318,0.034007452,0.026254516,0.2540396,0.30723524,0.33674192,0,0,
0.019868692,0.24561708,0.96294105,0,0.3602075,0.36993203,0.67881167,0.46030912,0.9620182,0.1694104,0.85222816,0.37848338,0,0,0.37839207,0.3767045,0.37649077,0.032654088,0.02408286,0.25460994,0.30852216,0.33496517,0,0,
0.019800425,0.24450609,0.9644728,0,0.360631,0.37040156,0.6790111,0.4599353,0.9632837,0.16995063,0.85344404,0.37853786,0,0,0.37804103,0.37688494,0.3763526,0.032249235,0.024187883,0.25466913,0.30758503,0.3353468,0,0,
