0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,
0.026985181,0.033250816,0.006511126,0,0.00571678,0.07336995,0,0.045054406,0.033796143,0.109372064,0.034360833,0.049100004,0.06551868,0.012853434,0.012256439,0.07458731,0.05841279,0.001256782,0.031005172,0.001174062,0.015306044,0.08084013,0.084472045,0.001874127,0,0.023320317,0.026323717,0,0.018224534,0.03332205,0.06089584,0.031317506,0.001983758,0,
0.027101353,0.033192568,0.006384445,0,0.005707379,0.07341933,0,0.04500451,0.03390489,0.10973947,0.03428313,0.048926678,0.06571174,0.01274342,0.012072442,0.07512756,0.058752112,0.001283832,0.031230155,0.001177112,0.015454046,0.08121673,0.084535494,0.001896979,0,0.023340192,0.026140038,0,0.018467918,0.03354646,0.060096554,0.031696025,0.001932257,0,
0.027336944,0.033371102,0.006443085,0,0.00577959,0.07385273,0,0.04564502,0.03411206,0.11030692,0.0344743,0.048841856,0.066210695,0.012777649,0.012282055,0.07563925,0.059098303,0.001247008,0.03159796,0.001141936,0.015566941,0.081622556,0.08519717,0.001936881,0,0.023444157,0.02627974,0,0.018545013,0.033596937,0.059790485,0.03189399,0.001959274,0,
0.027128784,0.033604432,0.00638337,0,0.005765793,0.07435839,0,0.046295315,0.034483254,0.111532465,0.034763023,0.048466384,0.06707076,0.013019269,0.012442721,0.076278076,0.05952183,0.0011983,0.03169163,0.001120112,0.015675504,0.08209463,0.08561783,0.001908273,0,0.0235966,0.026263364,0,0.018514536,0.033710424,0.059219565,0.03210729,0.001938823,0,
0.027453959,0.033707835,0.006410723,0,0.005797436,0.07347235,0,0.045866977,0.03447234,0.11128153,0.034814313,0.047910266,0.06705476,0.012903678,0.012275084,0.07612317,0.05930224,0.001241232,0.031573318,0.001124399,0.01570769,0.08174065,0.08469649,0.001913925,0,0.023367321,0.025976893,0,0.018499248,0.03370463,0.058750592,0.032180734,0.001914359,0,
0.027291369,0.033591844,0.006405564,0,0.005845716,0.07317833,0,0.04582253,0.034504004,0.11123459,0.03485761,0.04780277,0.06715037,0.012860528,0.012408521,0.07616429,0.059228413,0.001154862,0.0313681,0.001095527,0.015667398,0.08164324,0.08432962,0.001921215,0,0.023279881,0.025802871,0,0.018536912,0.033865392,0.058819436,0.032133095,0.001885846,0,
0.027412944,0.03344486,0.006333287,0,0.005803424,0.07270503,0,0.0454211,0.034453295,0.111317575,0.03460771,0.047465913,0.067019984,0.012751788,0.012138253,0.07594223,0.059300147,0.001231761,0.031375773,0.0011052,0.015683593,0.08181408,0.08359301,0.001945001,0,0.023150792,0.025478873,0,0.018259771,0.033665285,0.05895877,0.03232295,0.001830034,0,
0.026888032,0.033046808,0.006302757,0,0.005750973,0.07258754,0,0.04519845,0.034475997,0.111613095,0.034591082,0.04734964,0.0670776,0.012813255,0.012232121,0.07581505,0.059194587,0.001169828,0.031190217,0.00109572,0.015618707,0.08183534,0.08311935,0.0018465,0,0.02311997,0.025173806,0,0.018059481,0.033784725,0.058940124,0.032338127,0.00189496,0,
0.026962042,0.033033833,0.006247266,0,0.005733862,0.07236356,0,0.044944894,0.03444992,0.11171334,0.034521893,0.047318056,0.06703403,0.012646919,0.012070013,0.075842306,0.059284803,0.001187475,0.03122939,0.00108516,0.01562905,0.0820244,0.08279418,0.001849776,0,0.023010813,0.024996951,0,0.01798543,0.033667292,0.05886042,0.032453615,0.001832337,0,
0.026818974,0.032965966,0.006186804,0,0.00573748,0.07214992,0,0.044697806,0.03446127,0.11168259,0.034560796,0.047319345,0.067054495,0.012537378,0.012107192,0.07591578,0.059395492,0.001175728,0.031110143,0.001060104,0.015595618,0.08191466,0.08235681,0.001834133,0,0.022955175,0.024785263,0,0.018063828,0.033902895,0.05846093,0.032527935,0.001848282,0,
