0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,
0.73577714,1,-0.99995863,0.89714533,-23.026857,0.6996834,-96.084946,0.27550572,-0.14122486,0.41252357,-12.09319,-4.7055163,0.6602087,0.45504832,-0.45321727,1,0.8865107,0.65942895,1,0.6858015,0.49559563,1,0.9045405,0.99998695,
0.73578453,1,-0.95564485,0.89718443,-23.12427,0.70429564,-96.505585,0.28400302,-0.13617432,0.4133287,-12.093956,-4.7938995,0.66220254,0.45463145,-0.44550776,1,0.8890189,0.65871537,1,0.68246305,0.4971289,1,0.90407753,0.99998796,
0.73477614,1,-0.93085635,0.8956243,-23.333735,0.7040331,-97.21686,0.27731162,-0.12385118,0.41386163,-12.138538,-4.8471165,0.66273856,0.45514065,-0.46248674,1,0.8896643,0.6578696,1,0.6824348,0.50011677,1,0.904871,0.99998975,
0.73392487,1,-0.95645607,0.89043707,-23.589931,0.7001072,-97.61442,0.28520787,-0.12866235,0.41501993,-12.320627,-4.9383144,0.6584258,0.45503396,-0.45030713,1,0.8905264,0.65748566,1,0.6832125,0.51091766,1,0.90568703,0.9999925,
0.73422194,1,-0.96559036,0.8897457,-23.554508,0.69784987,-97.34493,0.296686,-0.14502954,0.41593903,-12.44329,-5.000304,0.6580695,0.4543705,-0.44049394,1,0.8914169,0.6571425,1,0.67914313,0.5070434,1,0.90469193,0.99999225,
0.73482573,1,-0.95954597,0.8894981,-23.643682,0.69701266,-97.56033,0.2946391,-0.15223229,0.4164498,-12.501597,-5.0507655,0.65790087,0.4536332,-0.4386077,1,0.89193374,0.6570328,1,0.67556095,0.5016748,1,0.9046581,0.9999933,
0.73457533,1,-0.9721103,0.8896106,-23.688805,0.69818556,-97.11619,0.29887235,-0.15410852,0.41658175,-12.535675,-5.0559754,0.65931076,0.45290846,-0.41859496,1,0.8935467,0.6565085,1,0.6771271,0.50174797,1,0.9037429,0.99999326,
0.73481137,1,-0.972504,0.8902257,-23.964596,0.70257294,-96.92139,0.29698944,-0.15228665,0.41655535,-12.548959,-5.0624285,0.6589993,0.4521134,-0.4010147,1,0.8952308,0.65631324,1,0.67663896,0.5024767,1,0.9038796,0.9999947,
0.73504883,1,-0.9639882,0.8903171,-24.047432,0.7034302,-96.76877,0.30102646,-0.14890206,0.4168144,-12.537996,-5.0698647,0.6594537,0.45165086,-0.3906077,1,0.8962825,0.65585935,1,0.67619336,0.5025653,1,0.9033929,0.9999948,
0.7355207,1,-0.95192873,0.89079005,-24.301609,0.7063838,-96.78994,0.30519927,-0.1487503,0.41711575,-12.527955,-5.076867,0.6593429,0.45121568,-0.37830853,1,0.89737093,0.6558129,1,0.67394316,0.5016411,1,0.90334064,0.99999505,
0.73560584,1,-0.98057604,0.8902035,-24.340809,0.70524263,-96.61732,0.3088296,-0.15423954,0.41752988,-12.643334,-5.0930843,0.6599252,0.45074075,-0.36456978,1,0.8982779,0.6552663,1,0.67383575,0.50249815,1,0.9027469,0.9999955,
0.7349614,1,-0.9682199,0.890065,-24.573997,0.7049608,-96.59859,0.312481,-0.14960063,0.4178394,-12.636888,-5.0880923,0.6607667,0.45113575,-0.3698926,1,0.8979805,0.6550797,1,0.67343754,0.50197977,1,0.9026916,0.9999948,
0.73485005,1,-0.95568,0.8899549,-24.875063,0.7032603,-96.85572,0.3088659,-0.14935625,0.41815114,-12.664297,-5.1034026,0.66082585,0.45139897,-0.38280547,1,0.8971554,0.6550016,1,0.6721312,0.5010766,1,0.9031133,0.99999607,
