0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,
0.9999664,0.99572235,0.9564923,1,0.99328583,0.9930904,0.9823954,0.9928115,0.97221106,0.9993518,0.98124766,0.9970134,1,1,0.9955938,0.9949466,0.9946572,0.99966466,0.9997426,0.99632865,0.99638605,0.997079,1,1,
0.99997014,0.9957212,0.9563197,1,0.99329144,0.9930373,0.98228425,0.9927806,0.9720727,0.9993365,0.9811188,0.9969761,1,1,0.99560475,0.994956,0.99467635,0.9996873,0.9997551,0.9962858,0.9963792,0.99704313,1,1,
0.9999727,0.9957048,0.95555604,1,0.99328727,0.9929662,0.9820562,0.9927024,0.97164094,0.9993198,0.9807959,0.9969117,1,1,0.99557596,0.9949345,0.99466246,0.999729,0.99979234,0.9962357,0.9963731,0.99704033,1,1,
0.9999708,0.9957516,0.9552771,1,0.9930832,0.99261314,0.9816528,0.99252105,0.9715111,0.99934965,0.98074,0.99693465,1,1,0.9955053,0.9948152,0.9945336,0.99974954,0.99982285,0.9962793,0.9964005,0.9969078,1,1,
0.99997205,0.9957442,0.9559889,1,0.9931539,0.9928301,0.9821381,0.9927225,0.97183156,0.99935603,0.9809065,0.9969366,1,1,0.99566054,0.99499637,0.9947432,0.99976516,0.9998244,0.99630713,0.9965124,0.9969434,1,1,
0.9999726,0.9957446,0.956283,1,0.9932007,0.99296355,0.9823185,0.99281734,0.9720454,0.9993764,0.98107606,0.99699605,1,1,0.9957205,0.9950863,0.994827,0.99979717,0.99985427,0.99633896,0.99649334,0.9970245,1,1,
0.99997354,0.99569434,0.95616925,1,0.9932345,0.992992,0.9823867,0.9928401,0.9719358,0.99937385,0.9809697,0.9969547,1,1,0.9957735,0.9951485,0.9949163,0.99980533,0.9998525,0.9963206,0.99655044,0.99698806,1,1,
0.9999728,0.99571544,0.9561394,1,0.9932337,0.9929718,0.9823537,0.9928362,0.97196865,0.9993859,0.9810319,0.99699485,1,1,0.9957725,0.99515474,0.99491376,0.99982214,0.9998791,0.99633366,0.99654996,0.99701077,1,1,
0.999974,0.9957205,0.95593256,1,0.99327636,0.99301654,0.9823911,0.99286145,0.9718217,0.99938345,0.9809152,0.996956,1,1,0.9958186,0.99521196,0.99499714,0.9998345,0.99987936,0.99633396,0.99657834,0.99699,1,1,
0.99997437,0.99572766,0.95621127,1,0.99328065,0.9930624,0.9824646,0.99289024,0.9720168,0.9993944,0.98105645,0.99699944,1,1,0.99582946,0.99524057,0.9950094,0.99984825,0.9998949,0.9963326,0.9965497,0.9970451,1,1,
0.9999742,0.99572295,0.95672643,1,0.9932937,0.9931258,0.98268557,0.9929801,0.9722597,0.99940974,0.98119795,0.9970088,1,1,0.9959158,0.99533767,0.9951325,0.99985284,0.9998989,0.99639606,0.99664503,0.99703467,1,1,
