0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,
0.99589366,0.9726761,0.9993381,1,0.9973555,0.99165714,1,0.93168133,0.9582891,0.15782452,0.9560969,0.92628026,0.8704522,0.99439114,0.9874699,0.78719574,0.9324688,0.99972534,0.93919903,0.99994093,0.99096733,0.54997593,0.7150754,0.9998274,1,0.9597043,0.9687779,1,0.98781836,0.97909814,0.58288264,0.9777905,0.99977916,1,
0.9958073,0.9727358,0.9993616,1,0.9973289,0.991673,1,0.93210685,0.95834976,0.15530246,0.9562783,0.92695916,0.87053144,0.9944719,0.98775846,0.7857189,0.9325805,0.99969065,0.9387297,0.9999408,0.99095786,0.54981744,0.7159375,0.9998226,1,0.9597329,0.9694693,1,0.9876646,0.97914624,0.584769,0.97765106,0.9997904,1,
0.99578226,0.9725805,0.9993602,1,0.9972752,0.9916268,1,0.9312384,0.9586639,0.1554755,0.9566521,0.92777556,0.8711722,0.9944974,0.98749745,0.7829189,0.9325018,0.99971145,0.93715656,0.99994373,0.9910043,0.54986656,0.71411604,0.9998189,1,0.9589871,0.9694501,1,0.98778325,0.9792523,0.5793079,0.97781575,0.99979174,1,
0.99588436,0.97232646,0.99937576,1,0.99738646,0.99151427,1,0.92957294,0.9584167,0.14455688,0.9563472,0.92857826,0.8699145,0.99410975,0.98714226,0.7807685,0.9326769,0.99976647,0.93709,0.9999442,0.99099827,0.55014884,0.7113904,0.999825,1,0.9582536,0.9696366,1,0.98805904,0.9791316,0.58079386,0.9778582,0.99979335,1,
0.9957906,0.97246146,0.99936736,1,0.9973136,0.9915889,1,0.92921084,0.9578513,0.13854063,0.9557825,0.9282067,0.86814225,0.9940335,0.9873071,0.78401846,0.93341786,0.9997369,0.9389262,0.999944,0.9908747,0.555736,0.7116114,0.9998201,1,0.95990855,0.9696484,1,0.9878517,0.97894496,0.58858955,0.9774759,0.9997966,1,
0.9958426,0.9725961,0.9993625,1,0.99731064,0.9916251,1,0.9288296,0.9576522,0.13488346,0.9554892,0.9280093,0.8673524,0.99404293,0.9869786,0.7838454,0.93346155,0.999793,0.9395759,0.99994564,0.9908991,0.56093514,0.71305126,0.9998187,1,0.96023864,0.9697238,1,0.98781973,0.97859514,0.5891018,0.9774683,0.99979967,1,
0.9957574,0.9726524,0.99937063,1,0.99728215,0.99167347,1,0.9292812,0.95760274,0.13131493,0.955566,0.9285042,0.8672323,0.9940247,0.9872848,0.7846501,0.9335855,0.99976015,0.9400037,0.9999453,0.9908817,0.5645014,0.71573704,0.9998142,1,0.9607554,0.9701886,1,0.9878785,0.9787379,0.58648324,0.9772442,0.9998072,1,
0.99585867,0.9727966,0.99937195,1,0.99734557,0.991681,1,0.9298051,0.9576173,0.1280765,0.9555616,0.9286375,0.8673916,0.9939683,0.9869478,0.78363025,0.9336069,0.99980104,0.9403816,0.9999445,0.99094254,0.57036793,0.7188376,0.9998358,1,0.96063226,0.9709992,1,0.9881081,0.9784886,0.5815699,0.9772858,0.99979573,1,
0.9958372,0.972694,0.99937886,1,0.99736637,0.9917205,1,0.9300184,0.9577015,0.12755072,0.95562625,0.92875326,0.86759555,0.99404716,0.98700756,0.7833434,0.9336264,0.999803,0.94030213,0.9999472,0.9909428,0.572083,0.7207811,0.9998367,1,0.96093905,0.97131693,1,0.98814094,0.9785151,0.57994854,0.97719055,0.99980736,1,
0.9958616,0.97287,0.9993822,1,0.9973389,0.99174416,1,0.9302895,0.9575748,0.12443948,0.9554754,0.9284675,0.8672109,0.99408454,0.98686165,0.7836939,0.93371737,0.99980855,0.9408369,0.99994725,0.9909718,0.5775696,0.72356427,0.99983877,1,0.961244,0.97176003,1,0.9881027,0.9783219,0.58108795,0.9771766,0.9998022,1,
0.9958508,0.97317624,0.9993933,1,0.99737525,0.99179024,1,0.9302997,0.9572755,0.12281829,0.9551902,0.9286311,0.866104,0.9940928,0.98735344,0.7886594,0.9345367,0.999813,0.94246507,0.99994856,0.9908778,0.57709527,0.7238212,0.99983823,1,0.9627108,0.97168,1,0.98810625,0.97821766,0.5907106,0.97686094,0.9998074,1,
0.9957813,0.9732645,0.9993963,1,0.99728286,0.99178976,1,0.93066406,0.9573876,0.12828428,0.9553696,0.9291615,0.8665359,0.99405813,0.98741424,0.78753227,0.9344686,0.99978685,0.9412173,0.9999462,0.99084735,0.56879735,0.72262764,0.9998304,1,0.96231127,0.971439,1,0.98801434,0.9783887,0.59286594,0.97690326,0.99980766,1,
0.9958164,0.9733478,0.9993996,1,0.99731624,0.99173105,1,0.9307081,0.957459,0.13060606,0.95535535,0.9291877,0.8664588,0.99406445,0.9875221,0.7879349,0.9343472,0.99981964,0.94074625,0.999944,0.990861,0.56427246,0.72089803,0.9998387,1,0.9619075,0.9708948,1,0.98814905,0.97819465,0.5953849,0.97694594,0.99979967,1,
0.99582916,0.9730478,0.9994007,1,0.9973721,0.99169755,1,0.93104285,0.9576548,0.13307714,0.9554744,0.92899543,0.8671799,0.994135,0.98753035,0.7855293,0.9342204,0.99981743,0.9398516,0.99994725,0.9908743,0.56425726,0.72063935,0.99984086,1,0.9614238,0.9708439,1,0.9882205,0.97818595,0.5918399,0.97699416,0.9998051,1,
0.9958414,0.9730094,0.99939877,1,0.9973464,0.9916879,1,0.9311415,0.9579175,0.13603401,0.9556887,0.9292652,0.8678495,0.9942028,0.98739606,0.783508,0.93393534,0.9998165,0.9388176,0.99994606,0.99090385,0.56312597,0.72111154,0.9998386,1,0.9609566,0.9709378,1,0.9882188,0.97824687,0.58797884,0.97710836,0.9998093,1,
0.9957854,0.9731037,0.9994057,1,0.99738777,0.99168205,1,0.93145657,0.95787495,0.13611871,0.95571655,0.92940825,0.8677357,0.99418014,0.987607,0.784575,0.9339481,0.9998227,0.93902504,0.9999474,0.9908941,0.56353617,0.72201985,0.9998432,1,0.96106875,0.9708594,1,0.98829186,0.978272,0.5880716,0.97695017,0.99980754,1,
