0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1.410247e-05,2.019832e-05,1.80665e-05,6.4285896e-06,9.699353e-06,1.0049347e-05,4.07315e-06,9.063098e-06,1.1164163e-05,2.9500995e-06,1.6119296e-06,7.111332e-06,8.324245e-06,6.41726e-06,2.5937532e-06,7.948322e-06,1.1866938e-05,2.579728e-06,9.758602e-06,1.4888308e-06,1.9551944e-06,2.0154377e-05,6.5411186e-06,1.96514e-05
1.2983036e-05,2.1502417e-05,1.7609203e-05,6.3408093e-06,1.02738295e-05,1.0084972e-05,4.0905406e-06,9.046877e-06,1.1078979e-05,3.0694764e-06,1.6344734e-06,7.1732784e-06,8.509032e-06,6.3445596e-06,2.62482e-06,8.082133e-06,1.202235e-05,2.5750023e-06,9.862789e-06,1.5348463e-06,2.068698e-06,2.0186955e-05,6.6272255e-06,2.0033232e-05
1.1663006e-05,1.598668e-05,1.6883174e-05,6.4557917e-06,1.0290055e-05,9.399443e-06,4.1127214e-06,8.975257e-06,1.0511469e-05,3.2077587e-06,1.618026e-06,7.0525507e-06,7.984289e-06,6.3681923e-06,2.7805934e-06,7.4615655e-06,1.2066475e-05,2.5755858e-06,1.006926e-05,1.5126892e-06,2.1327926e-06,1.8498395e-05,6.6192183e-06,1.7964792e-05
1.1027568e-05,1.911492e-05,1.6838167e-05,6.5105187e-06,1.0406451e-05,9.136576e-06,4.12554e-06,8.94429e-06,1.0519669e-05,3.150688e-06,1.6036132e-06,7.0091965e-06,7.92865e-06,6.131303e-06,2.7427475e-06,7.65336e-06,1.2053884e-05,2.5022493e-06,1.0334004e-05,1.5160133e-06,2.118692e-06,1.8784216e-05,6.5901177e-06,1.7494629e-05
1.1133263e-05,1.4801213e-05,1.645242e-05,6.5308723e-06,1.0485542e-05,9.166617e-06,4.1572775e-06,9.049161e-06,9.96336e-06,3.2285395e-06,1.6023721e-06,7.06654e-06,8.089957e-06,6.277074e-06,2.765523e-06,7.4909103e-06,1.1901461e-05,2.6175903e-06,1.0446143e-05,1.4967412e-06,2.1242108e-06,1.8926352e-05,6.596781e-06,1.7223007e-05
1.0149657e-05,1.5347727e-05,1.6496224e-05,6.778003e-06,1.0599654e-05,9.147003e-06,4.143595e-06,9.041571e-06,9.5929345e-06,3.3024476e-06,1.6775051e-06,7.0141396e-06,7.887465e-06,6.2637228e-06,2.823778e-06,7.329712e-06,1.1784064e-05,2.5557251e-06,1.022217e-05,1.518314e-06,2.119113e-06,1.7944785e-05,6.6593016e-06,1.47167475e-05
1.0417052e-05,1.5663329e-05,1.5798807e-05,5.5713535e-06,1.0762221e-05,9.845945e-06,4.198897e-06,9.061579e-06,9.465249e-06,3.3326614e-06,1.7021747e-06,7.091008e-06,8.031409e-06,7.3626106e-06,2.0515288e-06,7.1833238e-06,1.1728158e-05,2.3839202e-06,1.0110947e-05,1.470872e-06,2.2889963e-06,1.1940155e-05,6.2512677e-06,1.4579294e-05
1.0365315e-05,1.768339e-05,1.5220836e-05,5.7546126e-06,1.1256684e-05,9.902814e-06,4.349824e-06,9.043579e-06,9.332163e-06,3.318634e-06,1.7172058e-06,7.1278646e-06,7.984034e-06,7.3843867e-06,1.9977008e-06,7.5807307e-06,1.1857561e-05,2.3471664e-06,1.0332168e-05,1.4794236e-06,2.2722397e-06,1.2663424e-05,6.405581e-06,1.4596597e-05
9.841892e-06,1.738084e-05,1.5479087e-05,5.2984533e-06,1.1208065e-05,9.845827e-06,4.373119e-06,9.017345e-06,8.904248e-06,3.4463933e-06,1.5863116e-06,7.1386967e-06,8.0566e-06,7.284132e-06,2.0329169e-06,7.2242474e-06,1.1332499e-05,2.3366586e-06,1.006256e-05,1.4508277e-06,2.283813e-06,1.2595008e-05,6.2872487e-06,1.2737516e-05
9.120309e-06,1.4748885e-05,1.4336038e-05,5.3826493e-06,1.1096134e-05,9.669908e-06,4.3570867e-06,9.11578e-06,8.699386e-06,3.3792144e-06,1.5752948e-06,7.053311e-06,7.965164e-06,7.311948e-06,2.0787966e-06,6.63203e-06,1.1091894e-05,2.3423586e-06,9.875113e-06,1.4504405e-06,2.261428e-06,1.1314382e-05,6.262354e-06,1.1175037e-05
