0,1,2,3,4,5,6,7,8,9,10
0.000470102,0.001773752,0.001675501,0.000526689,0.001878095,0.000105975,0.001329719,0.000972796,7.90E-05,0.00056985,0.002574172
0.000480022,0.001793214,0.001633615,0.000495012,0.001799058,0.00010431,0.001355322,0.000963745,7.93E-05,0.00057735,0.002305701
0.000482554,0.001784593,0.001604868,0.000479509,0.001737112,0.000103048,0.001352596,0.000942673,8.04E-05,0.000584799,0.002238492
0.000563497,0.001886737,0.001610206,0.000475342,0.001652791,0.000103906,0.001362996,0.00095008,8.40E-05,0.000597807,0.002204165
0.000557963,0.001887728,0.001624253,0.000471758,0.001662195,0.000101652,0.001348645,0.000917785,8.40E-05,0.000596948,0.002032871
0.000562698,0.001897629,0.001587861,0.000463344,0.001621464,0.000101445,0.001318968,0.000943025,8.55E-05,0.000600115,0.002167284
0.000560103,0.001873689,0.001580852,0.000464933,0.001597682,0.000101361,0.001307919,0.00088311,8.66E-05,0.000609283,0.002078803
0.000568753,0.001920812,0.001513266,0.000464889,0.001556219,0.000100406,0.001282838,0.000862546,8.69E-05,0.000616574,0.001918681
0.000569097,0.001900904,0.001474081,0.000467727,0.001533721,0.000100573,0.00127839,0.00080906,8.70E-05,0.000629443,0.001795452
0.000568765,0.001892268,0.001449389,0.000466461,0.001514421,9.96E-05,0.001248283,0.000778989,8.64E-05,0.000636753,0.00173974
0.000571806,0.001894917,0.001420036,0.000463627,0.00148901,9.99E-05,0.001240895,0.000785816,8.53E-05,0.000641516,0.001781865
0.000574948,0.00185659,0.001386771,0.000464044,0.001481544,0.000100773,0.001198272,0.000760608,8.59E-05,0.000646802,0.001705582
0.000572489,0.001848919,0.001357175,0.000465301,0.001454555,0.000101658,0.001201837,0.000750218,8.43E-05,0.000656641,0.001689169
0.000572495,0.001839469,0.001321693,0.000465267,0.001437288,0.000101558,0.001190908,0.000718068,8.44E-05,0.000661092,0.001578184
0.000574632,0.001819518,0.001305664,0.000465667,0.001440157,0.000101901,0.001177868,0.000687057,8.30E-05,0.000669039,0.001499174
0.000581827,0.001813829,0.001273486,0.000461221,0.001430578,0.000101641,0.001160519,0.000691539,8.35E-05,0.000672226,0.001582825
0.000574594,0.001785541,0.001244643,0.000465475,0.001421741,0.000103064,0.001163509,0.000639699,8.35E-05,0.000680799,0.001432718
0.000581856,0.001788,0.001215315,0.000461253,0.001388463,0.000103158,0.001146867,0.000647385,8.34E-05,0.000683061,0.001426933
0.000576256,0.001722988,0.001195432,0.000461825,0.001399132,0.000103188,0.001144956,0.000641238,8.28E-05,0.000686951,0.001371278
0.000581655,0.001744966,0.001191838,0.000459719,0.001398325,0.000102799,0.001140721,0.00062956,8.28E-05,0.000689942,0.001340001
0.00057664,0.001712091,0.001182777,0.00045679,0.001390032,0.000102415,0.001134396,0.000632837,8.18E-05,0.000688266,0.001346022
0.000578839,0.001690447,0.001166592,0.000457335,0.001387359,0.000102769,0.001131351,0.000613582,8.24E-05,0.00069341,0.001272953
0.000573098,0.001697101,0.001138072,0.000452659,0.00136486,0.000103505,0.001129444,0.000620887,8.23E-05,0.000691711,0.001294171
0.000581242,0.001685378,0.001098783,0.000453879,0.001326432,0.000103675,0.001112301,0.000600465,8.24E-05,0.00070259,0.001278955
0.000580705,0.001649473,0.001102227,0.000453084,0.001360757,0.000106013,0.001104945,0.000594002,8.24E-05,0.00069816,0.001243707
0.000579163,0.001627346,0.001090953,0.000453601,0.001363005,0.000105971,0.001103849,0.000591324,8.15E-05,0.000696552,0.001207131
0.000575429,0.001591113,0.001090068,0.000467428,0.001350561,0.000108808,0.001099347,0.000581128,8.19E-05,0.00069553,0.001160581
0.000575533,0.001605805,0.001059454,0.000469753,0.00136008,0.000108996,0.001092571,0.000567382,8.13E-05,0.000698301,0.001119826
0.000577741,0.001536262,0.001035548,0.000464564,0.001365784,0.000109203,0.001092406,0.000578266,8.17E-05,0.0006994,0.001159133
0.000579324,0.001580225,0.001047207,0.000462662,0.001313907,0.000111503,0.001076972,0.00056932,8.13E-05,0.000707188,0.00108363
0.00057421,0.001560109,0.001046152,0.000459403,0.001304661,0.000111612,0.001088409,0.000552146,8.15E-05,0.00070167,0.00104919
0.000597956,0.001558322,0.001019647,0.000457193,0.001300505,0.000111414,0.001075293,0.000570638,8.18E-05,0.000704446,0.001086382
0.000610294,0.001562732,0.000996259,0.000493275,0.001316914,0.000115069,0.001109973,0.000553227,8.06E-05,0.000760265,0.0011952
0.000622654,0.001562947,0.000986215,0.000484278,0.001326599,0.000120094,0.001099153,0.000556883,8.00E-05,0.000759659,0.001197641
0.000530504,0.001527512,0.000955003,0.000405814,0.001284936,0.000116629,0.000823612,0.000464807,7.78E-05,0.000686073,0.001026502
0.00054611,0.001520877,0.000943261,0.000410437,0.001261035,0.000114279,0.000846979,0.000464463,7.92E-05,0.000708586,0.000995879
0.000535878,0.001516758,0.000924823,0.000402255,0.001247831,9.94E-05,0.000779709,0.000469838,8.05E-05,0.000713753,0.000975336
0.00052804,0.001461563,0.000897672,0.000400026,0.001172394,0.000100272,0.000723061,0.000452988,7.98E-05,0.000710779,0.000979283
0.000543911,0.001587502,0.000906022,0.000398568,0.001213307,0.000100204,0.000714536,0.000482462,7.92E-05,0.000718622,0.000962772
0.000531642,0.00152932,0.000873949,0.000395386,0.001177419,9.92E-05,0.000739566,0.000459151,8.14E-05,0.000728416,0.000985163
0.000542891,0.00156307,0.000869151,0.000394776,0.00119288,9.89E-05,0.00071956,0.000476132,8.07E-05,0.000723338,0.000956422
0.000598114,0.002253447,0.001391397,0.000529823,0.001938784,0.000112716,0.000729001,0.000480828,0.000110004,0.000761295,0.001942129
0.00058167,0.002834913,0.001729812,0.000590903,0.001983866,0.000114256,0.000685709,0.000477261,0.000128069,0.000805906,0.002034478
0.000584305,0.002977292,0.001672126,0.000618747,0.001882031,0.000113116,0.000724063,0.000468815,0.000121683,0.00086052,0.001856728
0.000562744,0.003050858,0.001615927,0.00060225,0.001721121,9.55E-05,0.00070309,0.000454181,0.000111613,0.000855959,0.001700605
0.000553094,0.002753105,0.001332837,0.000583052,0.001381067,8.80E-05,0.000695058,0.0004635,0.000106036,0.000661816,0.001531586
0.000531415,0.002903809,0.001304078,0.000564885,0.001313592,8.88E-05,0.000696441,0.000411752,9.87E-05,0.000689888,0.001428524
0.000529254,0.002964513,0.001267195,0.000563644,0.001332938,9.27E-05,0.00073227,0.000440128,0.000110549,0.000689151,0.001718354
0.000530148,0.003061935,0.001282268,0.000587469,0.001302954,9.31E-05,0.000733396,0.000457902,0.000110637,0.000688099,0.00164334
0.000555848,0.002900294,0.001234101,0.000577304,0.001315139,9.23E-05,0.000725184,0.000467243,0.000108748,0.000689035,0.001527711
0.000545411,0.0029837,0.001266518,0.000564959,0.001247324,9.12E-05,0.000751561,0.00044873,0.000107334,0.000691245,0.001503352
0.000552546,0.002966205,0.001232142,0.000554754,0.001224392,8.83E-05,0.000737635,0.000457382,0.000104671,0.000692253,0.001402094
0.000611381,0.002959927,0.001198566,0.00053942,0.001205598,8.86E-05,0.000743122,0.000437545,0.000103576,0.000690604,0.001349398
0.000625656,0.003149538,0.001205018,0.000515825,0.001211204,9.42E-05,0.000812691,0.000449978,0.000107823,0.000833283,0.001682807
0.000648471,0.003206835,0.001246844,0.00058797,0.001281017,9.33E-05,0.000947139,0.000443373,0.000106901,0.000830558,0.001597532
0.000651199,0.003011964,0.001235009,0.000583032,0.001266743,9.21E-05,0.000954422,0.000481955,0.000104494,0.000836731,0.001523362
0.000647588,0.002988971,0.001198122,0.000588561,0.001249089,9.24E-05,0.00098151,0.000482213,0.000104115,0.000835352,0.001453493
0.000635544,0.002941789,0.001118972,0.000598349,0.001214128,9.15E-05,0.001085483,0.000469791,0.00010663,0.000850029,0.001414134
0.000631999,0.002968312,0.001113406,0.000598794,0.001217434,9.10E-05,0.001099555,0.000492665,0.000111687,0.000853378,0.001384578
0.000634188,0.00293943,0.001118092,0.000591766,0.001218329,8.95E-05,0.001092156,0.000488395,0.000109931,0.000857534,0.001332776
0.000624276,0.00290863,0.001137804,0.000599349,0.001216866,0.000110125,0.001137103,0.00050166,0.000108611,0.000851204,0.001490766
0.000607931,0.002896383,0.001122431,0.000590588,0.001212009,0.000105591,0.00112263,0.000495199,0.000108282,0.000855186,0.001428809
0.000594331,0.002898196,0.001120653,0.000586374,0.001192027,0.000105256,0.001117874,0.000486418,0.000107602,0.000853012,0.001388837
